Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,State,Gender
GB39003,California,M,High School or Below,628530.52,0.0,90.0,1/0/00,Personal Auto,Two-Door Car,432.0,,
VH43367,California,F,High School or Below,250602.2,61402.0,63.0,1/2/00,Special Auto,Four-Door Car,302.4,,
KG81168,Arizona,M,Bachelor,282630.76,65090.0,71.0,1/0/00,Personal Auto,Four-Door Car,73.995096,,
WU14549,Nevada,M,Master,436971.79,88495.0,108.0,1/0/00,Personal Auto,Two-Door Car,535.926948,,
XB17553,Nevada,M,Bachelor,1217458.8,52797.0,104.0,1/1/00,Personal Auto,Luxury,88.173438,,
MY88518,Nevada,M,Doctor,352804.43,31278.0,92.0,1/4/00,Personal Auto,Two-Door Car,441.6,,
XE18554,California,F,Bachelor,1043657.47,24177.0,92.0,1/1/00,Personal Auto,Four-Door Car,441.6,,
NY97446,Oregon,F,High School or Below,274612.14,96339.0,68.0,1/0/00,Corporate Auto,Four-Door Car,293.205349,,
VT96364,California,M,Bachelor,917517.19,68164.0,119.0,1/2/00,Personal Auto,Four-Door Car,222.582872,,
HF88410,Washington,,High School or Below,,36765.0,66.0,1/1/00,Personal Auto,Four-Door Car,320.849072,,
DP92488,Washington,F,Doctor,272752.08,74592.0,67.0,1/0/00,Personal Auto,Two-Door Car,321.6,,
VC54081,Oregon,F,College,944974.59,0.0,63.0,1/0/00,Special Auto,Four-Door Car,117.744416,,
CE94751,California,M,College,456881.94,0.0,70.0,1/1/00,Personal Auto,Two-Door Car,524.836298,,
VM85856,Oregon,F,Master,257402.04,34990.0,65.0,1/0/00,Personal Auto,Four-Door Car,42.689135,,
EH37385,Arizona,F,Master,878988.41,22849.0,109.0,1/0/00,Personal Auto,Luxury,523.2,,
FI45719,Arizona,M,Doctor,250740.78,32893.0,63.0,1/0/00,Personal Auto,Four-Door Car,174.086385,,
SB79528,Oregon,M,College,252241.46,0.0,73.0,1/0/00,Corporate Auto,Two-Door Car,350.4,,
WH81461,Nevada,M,College,754271.4,0.0,111.0,1/0/00,Personal Auto,SUV,1186.972445,,
UD47050,Oregon,M,High School or Below,600521.48,26876.0,76.0,1/0/00,Corporate Auto,Four-Door Car,364.8,,
XZ17273,Nevada,M,Bachelor,2099825.95,71663.0,74.0,1/0/00,Corporate Auto,Four-Door Car,84.494022,,
XR97812,California,M,College,234508.45,0.0,69.0,1/0/00,Personal Auto,Four-Door Car,331.2,,
BW88060,California,F,High School or Below,878316.54,16994.0,112.0,1/0/00,Personal Auto,SUV,806.4,,
CP32818,Oregon,M,Bachelor,452996.54,64270.0,117.0,1/0/00,Personal Auto,Luxury,46.104534,,
CM52565,Nevada,F,High School or Below,603322.24,0.0,83.0,1/0/00,Corporate Auto,Four-Door Car,597.6,,
YP40334,Oregon,F,Doctor,530824.7,0.0,145.0,1/0/00,Personal Auto,SUV,358.765757,,
KD63998,California,M,College,267473.07,56342.0,69.0,1/0/00,Personal Auto,Four-Door Car,331.2,,
VC77127,California,F,High School or Below,492980.75,0.0,70.0,1/0/00,Personal Auto,Four-Door Car,837.438442,,
AM30008,California,M,High School or Below,1413112.13,28327.0,185.0,1/0/00,Personal Auto,Luxury,888.0,,
PC83755,Oregon,M,High School or Below,247152.84,95697.0,61.0,1/0/00,Personal Auto,Two-Door Car,114.273025,,
XS22323,Arizona,M,High School or Below,600521.48,26876.0,76.0,1/0/00,Personal Auto,Four-Door Car,364.8,,
ST27958,Washington,M,College,438627.76,10621.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6,,
BH23017,Nevada,F,Bachelor,1911656.81,0.0,61.0,1/0/00,Personal Auto,Two-Door Car,657.808231,,
OD18225,California,M,College,663166.55,32918.0,84.0,1/0/00,Personal Auto,Four-Door Car,403.2,,
VE31507,Oregon,F,High School or Below,743229.99,0.0,71.0,1/0/00,Personal Auto,Four-Door Car,447.333545,,
NR18672,Nevada,M,High School or Below,292811.51,63127.0,74.0,1/1/00,Personal Auto,Two-Door Car,174.292234,,
DM76654,California,M,College,4661187.38,22022.0,136.0,1/0/00,Personal Auto,SUV,979.2,,
YY11432,Oregon,F,High School or Below,1651500.93,51725.0,138.0,1/1/00,Personal Auto,SUV,159.004261,,
GK67747,Washington,M,College,438627.76,10621.0,67.0,1/0/00,Special Auto,Four-Door Car,321.6,,
XA75063,Oregon,F,College,1021356.34,39719.0,131.0,1/0/00,Personal Auto,Luxury,628.8,,
PQ13422,Nevada,M,College,1004928.59,58194.0,84.0,1/0/00,Personal Auto,Four-Door Car,450.996589,,
NA89685,Oregon,M,College,574614.83,61990.0,72.0,1/0/00,Personal Auto,Four-Door Car,48.884434,,
AL35726,Oregon,F,College,374675.16,41479.0,94.0,1/1/00,Personal Auto,Two-Door Car,19.575683,,
WO70078,Oregon,F,Bachelor,748606.84,97899.0,95.0,1/3/00,Personal Auto,Four-Door Car,3.772105,,
CA56041,Nevada,F,College,912006.52,63878.0,113.0,1/0/00,Personal Auto,SUV,370.285349,,
HI41970,Oregon,F,High School or Below,567804.67,68671.0,70.0,1/0/00,Special Auto,Two-Door Car,8.076879,,
AU46443,Nevada,F,Bachelor,751708.38,0.0,102.0,1/0/00,Personal Auto,SUV,1178.995926,,
WC35554,Oregon,M,College,453053.07,34640.0,117.0,1/2/00,Personal Auto,Luxury,466.318191,,
JR10216,California,F,Bachelor,269138.06,21959.0,71.0,1/0/00,Corporate Auto,Four-Door Car,340.8,,
OH11674,Arizona,F,Bachelor,806862.39,51584.0,69.0,1/2/00,Corporate Auto,Two-Door Car,368.919773,,
US85318,Oregon,F,Bachelor,247857.67,65744.0,62.0,1/0/00,Corporate Auto,Four-Door Car,166.507217,,
FS19862,Arizona,F,Bachelor,911204.15,25198.0,118.0,1/0/00,Personal Auto,SUV,566.4,,
ZP80713,Arizona,F,Master,277244.13,79663.0,69.0,1/0/00,Personal Auto,Two-Door Car,263.957201,,
OK50159,Arizona,F,Bachelor,430579.32,31071.0,111.0,1/2/00,Personal Auto,Luxury,215.23091,,
TP54769,California,F,Bachelor,510335.76,39452.0,131.0,1/0/00,Corporate Auto,SUV,398.190882,,
FS49381,Oregon,F,Bachelor,478496.05,25813.0,61.0,1/0/00,Personal Auto,Four-Door Car,205.332749,,
DQ79499,Oregon,F,Doctor,1054110.98,59965.0,131.0,1/0/00,Personal Auto,SUV,905.030448,,
VH31965,Washington,M,Bachelor,528511.87,40783.0,67.0,1/1/00,Personal Auto,Four-Door Car,321.6,,
VO25602,Nevada,F,College,761084.05,98701.0,94.0,1/0/00,Personal Auto,Four-Door Car,79.615631,,
EP93369,Arizona,F,College,851052.59,0.0,121.0,1/0/00,Personal Auto,Luxury,871.2,,
DQ45854,Oregon,F,College,1617294.05,64388.0,68.0,1/0/00,Personal Auto,Four-Door Car,12.394834,,
QG15661,Oregon,M,College,242549.48,66841.0,62.0,1/0/00,Personal Auto,Four-Door Car,123.436634,,
YA80645,Oregon,F,High School or Below,289931.72,33738.0,74.0,1/1/00,Corporate Auto,Four-Door Car,304.390472,,
TW16499,California,M,Bachelor,363305.4,43334.0,95.0,1/2/00,Corporate Auto,Two-Door Car,614.367195,,
UP97629,California,F,College,345715.42,0.0,91.0,1/0/00,Personal Auto,Four-Door Car,245.673365,,
NU42684,Nevada,F,College,339472.03,83431.0,84.0,1/0/00,Personal Auto,Four-Door Car,403.2,,
EM85557,Washington,F,College,802106.71,54292.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6,,
BM69818,Oregon,M,Bachelor,584152.81,0.0,79.0,1/0/00,Personal Auto,Four-Door Car,379.2,,
HK15299,California,M,High School or Below,547985.42,38210.0,69.0,1/0/00,Personal Auto,Four-Door Car,383.043363,,
NP88496,Nevada,F,High School or Below,2045524.95,0.0,67.0,1/0/00,Personal Auto,Four-Door Car,482.4,,
SB99002,Oregon,F,Bachelor,831912.3,49734.0,69.0,1/0/00,Corporate Auto,Four-Door Car,154.748539,,
ZH42145,Washington,F,High School or Below,258286.23,50148.0,65.0,1/0/00,Corporate Auto,Four-Door Car,323.485239,,
JG30837,Oregon,M,College,416379.34,11689.0,117.0,1/0/00,Corporate Auto,SUV,561.6,,
AC22873,Arizona,F,High School or Below,485310.03,17120.0,125.0,1/0/00,Special Auto,SUV,717.285949,,
RO85831,Oregon,M,High School or Below,753169.73,82157.0,188.0,1/0/00,Corporate Auto,Luxury,1353.6,,
NN65845,Washington,F,Bachelor,258593.7,21603.0,68.0,1/2/00,Personal Auto,Four-Door Car,326.4,,
RZ27571,Washington,F,Bachelor,269596.39,25544.0,68.0,1/0/00,Personal Auto,Four-Door Car,326.4,,
GH31557,California,M,High School or Below,268458.16,98121.0,67.0,1/0/00,Personal Auto,Two-Door Car,383.655742,,
MK73855,Washington,F,High School or Below,810936.46,32314.0,68.0,1/0/00,Personal Auto,Four-Door Car,326.4,,
IO27771,Oregon,F,College,903665.76,89382.0,112.0,1/0/00,Corporate Auto,Four-Door Car,573.990258,,
HB99061,Arizona,F,High School or Below,535218.7,97742.0,132.0,1/0/00,Corporate Auto,SUV,199.590599,,
HQ82089,Arizona,F,High School or Below,1188096.62,0.0,114.0,1/0/00,Personal Auto,Four-Door Car,820.8,,
JN72184,Oregon,M,College,255709.43,0.0,73.0,1/0/00,Corporate Auto,Four-Door Car,525.6,,
WQ46946,California,F,College,791482.31,77153.0,99.0,1/1/00,Personal Auto,Four-Door Car,355.641958,,
WJ44028,California,M,Master,984008.26,94590.0,81.0,1/0/00,Personal Auto,Two-Door Car,388.8,,
WH77063,Arizona,F,High School or Below,435155.05,74163.0,108.0,1/0/00,Personal Auto,Four-Door Car,518.4,,
FI13966,Oregon,F,High School or Below,2220782.62,40450.0,287.0,1/3/00,Personal Auto,Luxury,1377.6,,
AQ46199,Oregon,M,High School or Below,482525.86,0.0,71.0,1/0/00,Personal Auto,Two-Door Car,511.2,,
WV69362,Arizona,F,High School or Below,694783.88,0.0,99.0,1/0/00,Corporate Auto,Two-Door Car,475.2,,
RJ90816,California,F,College,334480.95,33243.0,85.0,1/0/00,Personal Auto,Four-Door Car,24.555177,,
NH19236,Arizona,M,Master,235750.31,0.0,64.0,1/0/00,Personal Auto,Four-Door Car,199.791024,,
VW88911,Oregon,M,High School or Below,3594471.05,0.0,114.0,1/0/00,Corporate Auto,Four-Door Car,820.8,,
NV14535,Nevada,M,High School or Below,1040896.87,20228.0,101.0,1/1/00,Personal Auto,SUV,523.815839,,
BM66931,Arizona,F,High School or Below,404816.13,92801.0,100.0,1/0/00,Personal Auto,SUV,407.045238,,
JW24035,Oregon,M,College,685200.19,0.0,69.0,1/1/00,Personal Auto,Four-Door Car,406.999443,,
PG82270,California,M,College,290302.42,36845.0,74.0,1/0/00,Personal Auto,Four-Door Car,355.2,,
RW65101,California,F,College,1803911.42,0.0,63.0,1/0/00,Personal Auto,Four-Door Car,503.204804,,
QO79771,California,F,Master,324204.39,72330.0,81.0,1/2/00,Personal Auto,Four-Door Car,126.509441,,
EC44438,Nevada,F,Bachelor,246762.08,19352.0,65.0,1/0/00,Personal Auto,Four-Door Car,724.463534,,
MW54213,Arizona,M,College,567438.34,0.0,62.0,1/5/00,Personal Auto,Four-Door Car,297.6,,
ZN33412,Arizona,F,College,863435.6,25073.0,79.0,1/0/00,Personal Auto,Four-Door Car,379.2,,
HZ56678,Oregon,F,High School or Below,278019.69,20261.0,72.0,1/0/00,Personal Auto,Four-Door Car,345.6,,
AN36757,Oregon,M,Master,2205600.5,66851.0,92.0,1/2/00,Personal Auto,Four-Door Car,408.550442,,
NB54665,Arizona,F,High School or Below,251459.2,43860.0,65.0,1/0/00,Corporate Auto,Four-Door Car,156.124914,,
MG99229,Oregon,M,College,588622.11,0.0,180.0,1/0/00,Corporate Auto,Luxury,1777.471271,,
MX76292,California,F,Doctor,770603.63,48019.0,64.0,1/0/00,Corporate Auto,Four-Door Car,137.665031,,
EJ90880,California,M,College,279045.82,28786.0,71.0,1/1/00,Personal Auto,Four-Door Car,345.619809,,
WO95180,California,F,High School or Below,239703.61,22283.0,65.0,1/0/00,Corporate Auto,Four-Door Car,572.072106,,
BU53191,Arizona,F,Bachelor,883432.28,34133.0,111.0,1/0/00,Personal Auto,SUV,226.9684,,
ZK54897,Arizona,M,Master,1443567.37,60880.0,119.0,1/0/00,Personal Auto,Two-Door Car,109.906628,,
PP48389,California,F,Bachelor,687196.66,0.0,196.0,1/2/00,Personal Auto,Luxury,940.8,,
XD29421,Oregon,M,High School or Below,1536235.44,48115.0,192.0,1/0/00,Personal Auto,Luxury,1382.4,,
OP26403,California,F,College,483479.75,32017.0,62.0,1/2/00,Personal Auto,Four-Door Car,297.6,,
XK15687,Oregon,F,High School or Below,1089930.18,58518.0,136.0,1/0/00,Personal Auto,SUV,323.637414,,
ED29955,California,M,Bachelor,528404.1,61542.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6,,
QT84720,Oregon,F,Bachelor,289172.68,56761.0,73.0,1/1/00,Corporate Auto,Two-Door Car,85.146928,,
ZH35315,California,M,College,490054.51,22976.0,66.0,1/0/00,Personal Auto,Four-Door Car,345.951322,,
EE76374,Nevada,F,High School or Below,2084259.63,0.0,72.0,1/0/00,Personal Auto,Four-Door Car,709.082334,,
SH51981,Washington,M,College,524605.72,70301.0,67.0,1/0/00,Personal Auto,Four-Door Car,328.942798,,
BS13111,Arizona,M,Bachelor,663083.61,0.0,66.0,1/0/00,Personal Auto,Four-Door Car,315.950185,,
JP12645,Arizona,M,Bachelor,1203662.05,44428.0,104.0,1/0/00,Personal Auto,SUV,499.2,,
ZF28570,Nevada,M,Bachelor,389503.48,52361.0,102.0,1/0/00,Personal Auto,Four-Door Car,645.952371,,
UU93074,California,M,College,1170106.99,32435.0,297.0,1/0/00,Personal Auto,Luxury,1767.348807,,
SZ60450,California,M,High School or Below,341910.87,40272.0,86.0,1/0/00,Personal Auto,Two-Door Car,23.387192,,
HL63895,Arizona,M,Master,730277.51,30492.0,61.0,1/0/00,Personal Auto,Four-Door Car,171.38289,,
UD27196,Arizona,M,High School or Below,1968540.91,51524.0,244.0,1/0/00,Personal Auto,Luxury,1171.2,,
OU53351,Arizona,M,College,248606.49,36635.0,63.0,1/0/00,Corporate Auto,Four-Door Car,302.4,,
SX50964,Arizona,F,Bachelor,522432.88,83389.0,65.0,1/0/00,Corporate Auto,Two-Door Car,209.25613,,
RP30093,Oregon,F,Bachelor,4922143.07,63035.0,153.0,1/0/00,Personal Auto,SUV,734.4,,
BK73302,California,M,Bachelor,316788.87,61638.0,82.0,1/2/00,Corporate Auto,Four-Door Car,544.340079,,
CS93971,Arizona,F,College,780531.29,21073.0,106.0,1/1/00,Personal Auto,SUV,508.8,,
RG13940,California,F,College,1319792.89,0.0,68.0,1/3/00,Personal Auto,Four-Door Car,326.4,,
ZG94155,Oregon,M,Bachelor,623430.59,0.0,82.0,1/0/00,Personal Auto,Two-Door Car,192.7604,,
QN15356,Arizona,M,College,753960.06,0.0,74.0,1/0/00,Personal Auto,Four-Door Car,532.8,,
MZ16820,Nevada,M,High School or Below,815793.36,86811.0,102.0,1/0/00,Corporate Auto,Four-Door Car,489.6,,
DO98345,Oregon,M,High School or Below,1315674.9,72517.0,82.0,1/0/00,Personal Auto,Two-Door Car,371.458196,,
PA48777,Washington,F,High School or Below,249125.76,25965.0,5353.0,1/0/00,Personal Auto,Four-Door Car,329.206567,,
UK76814,Oregon,F,Doctor,533938.84,84424.0,66.0,1/0/00,Personal Auto,Four-Door Car,231.537001,,
SR30440,California,F,College,864917.5,43383.0,109.0,1/0/00,Personal Auto,SUV,757.593913,,
XE66367,Oregon,M,High School or Below,751913.36,96306.0,95.0,1/1/00,Special Auto,Four-Door Car,185.355353,,
SZ70655,California,F,College,429300.96,0.0,61.0,1/0/00,Corporate Auto,Two-Door Car,292.8,,
UV54502,Washington,F,High School or Below,253774.45,0.0,69.0,1/0/00,Personal Auto,Four-Door Car,331.2,,
DK98861,Arizona,F,College,1316033.89,94125.0,109.0,1/0/00,Personal Auto,SUV,341.680131,,
JX14364,Oregon,M,College,1323554.44,39778.0,112.0,1/0/00,Personal Auto,SUV,806.4,,
LI85491,Oregon,F,High School or Below,374457.77,0.0,101.0,1/0/00,Personal Auto,SUV,727.2,,
JY87538,Oregon,F,College,2848607.28,91871.0,102.0,1/0/00,Personal Auto,SUV,346.845129,,
VE55982,Nevada,M,Bachelor,264468.46,54000.0,66.0,1/0/00,Corporate Auto,Two-Door Car,373.881547,,
WK99918,Oregon,M,Doctor,507328.21,57709.0,125.0,1/0/00,Personal Auto,SUV,600.0,,
XP16538,Arizona,F,High School or Below,427258.51,81132.0,107.0,1/0/00,Corporate Auto,SUV,419.105559,,
HW42900,California,M,College,1100301.65,22926.0,93.0,1/0/00,Corporate Auto,Four-Door Car,479.934846,,
JG84729,Arizona,F,College,1418164.28,0.0,72.0,1/2/00,Personal Auto,Four-Door Car,345.6,,
XH85336,Washington,M,Bachelor,554803.19,67798.0,69.0,1/0/00,Personal Auto,Four-Door Car,331.2,,
ND29059,Oregon,M,Bachelor,1107768.59,78011.0,138.0,1/0/00,Personal Auto,SUV,619.698644,,
HC76653,Oregon,M,College,243568.9,32931.0,62.0,1/0/00,Personal Auto,Four-Door Car,297.6,,
SG73822,California,F,Bachelor,874385.22,99517.0,109.0,1/0/00,Personal Auto,Four-Door Car,239.905208,,
CB44654,Arizona,M,Bachelor,240976.09,59665.0,62.0,1/1/00,Personal Auto,Two-Door Car,167.138119,,
MP53505,Washington,F,High School or Below,550001.25,86073.0,136.0,1/0/00,Corporate Auto,Luxury,333.5671,,
YJ43481,Arizona,F,High School or Below,852828.87,91099.0,107.0,1/0/00,Corporate Auto,SUV,406.430632,,
TP15362,Oregon,M,College,359199.61,28013.0,91.0,1/0/00,Personal Auto,Four-Door Car,655.2,,
YX90754,Nevada,F,High School or Below,853982.69,55478.0,71.0,1/0/00,Personal Auto,Two-Door Car,339.399593,,
TQ32702,Nevada,F,College,699091.78,22568.0,88.0,1/0/00,Corporate Auto,Four-Door Car,422.4,,
TS50305,California,F,High School or Below,397938.82,0.0,112.0,1/0/00,Personal Auto,SUV,806.4,,
BY22068,Arizona,M,High School or Below,2395037.44,39335.0,201.0,1/0/00,Corporate Auto,Luxury,964.8,,
TJ48439,Oregon,F,College,232105.25,0.0,66.0,1/0/00,Personal Auto,Two-Door Car,508.703134,,
TE61015,Oregon,M,College,508702.05,0.0,72.0,1/0/00,Personal Auto,Four-Door Car,345.6,,
RD89159,Oregon,M,College,436293.12,58842.0,110.0,1/0/00,Personal Auto,Four-Door Car,528.0,,
VW86720,Oregon,F,Bachelor,745746.81,0.0,69.0,1/0/00,Personal Auto,Four-Door Car,678.209827,,
UM76485,Oregon,M,College,702775.96,0.0,102.0,1/0/00,Personal Auto,SUV,489.6,,
LS62045,Oregon,F,Bachelor,283168.37,70037.0,70.0,1/0/00,Personal Auto,Four-Door Car,409.985435,,
ZG84862,Nevada,M,High School or Below,421785.79,0.0,62.0,1/0/00,Personal Auto,Two-Door Car,446.4,,
CD76093,Nevada,M,College,759629.15,59847.0,192.0,1/0/00,Corporate Auto,Luxury,921.6,,
FO99259,California,M,Bachelor,836567.76,26630.0,118.0,1/0/00,Personal Auto,Four-Door Car,581.077056,,
KN87338,Oregon,F,High School or Below,272639.3,48039.0,68.0,1/0/00,Personal Auto,Four-Door Car,11.451889,,
LT89398,California,M,High School or Below,342045.22,0.0,92.0,1/0/00,Personal Auto,Four-Door Car,441.6,,
NZ19529,Arizona,M,High School or Below,483910.72,0.0,137.0,1/0/00,Personal Auto,SUV,1227.458548,,
PR41853,Arizona,F,Bachelor,435855.35,0.0,118.0,1/0/00,Corporate Auto,Luxury,101.826804,,
ZF40671,Washington,F,Master,1242739.37,15818.0,107.0,1/0/00,Personal Auto,Two-Door Car,333.886816,,
XR84971,Oregon,F,Doctor,2351585.33,36537.0,85.0,1/0/00,Personal Auto,Four-Door Car,165.309001,,
BP83941,Arizona,F,Master,839632.76,0.0,115.0,1/1/00,Personal Auto,SUV,552.0,,
PY80449,Arizona,M,High School or Below,517097.64,53603.0,132.0,1/1/00,Personal Auto,Luxury,697.272246,,
ET22260,Nevada,M,Doctor,558530.81,0.0,80.0,1/0/00,Corporate Auto,Four-Door Car,6.281344,,
OF47250,California,F,Doctor,863949.5,92374.0,107.0,1/1/00,Personal Auto,SUV,220.018279,,
WB58031,California,M,High School or Below,528183.35,39658.0,66.0,1/0/00,Corporate Auto,Four-Door Car,316.8,,
UV80201,Oregon,F,Bachelor,838525.23,0.0,116.0,1/0/00,Personal Auto,Luxury,556.8,,
PY10605,Arizona,M,Bachelor,463310.13,0.0,70.0,1/0/00,Personal Auto,Two-Door Car,336.0,,
JI82682,California,F,High School or Below,248039.27,0.0,65.0,1/0/00,Personal Auto,Four-Door Car,328.314222,,
BU14748,Arizona,M,High School or Below,361868.69,50755.0,91.0,1/0/00,Personal Auto,Two-Door Car,436.8,,
QK18099,Washington,F,College,537584.28,69050.0,67.0,1/0/00,Personal Auto,Four-Door Car,334.892437,,
LD26428,Oregon,M,Bachelor,489329.15,0.0,73.0,1/0/00,Corporate Auto,Four-Door Car,680.047456,,
MY43761,California,M,High School or Below,1073768.43,50607.0,137.0,1/0/00,Personal Auto,SUV,657.6,,
WQ89892,Washington,F,College,260781.55,0.0,70.0,1/1/00,Special Auto,Two-Door Car,336.0,,
GY55415,Nevada,F,Bachelor,1572525.05,0.0,149.0,1/0/00,Corporate Auto,SUV,1072.8,,
IB42395,Nevada,M,College,955341.55,0.0,146.0,1/0/00,Corporate Auto,SUV,1051.2,,
ZU74482,Oregon,M,College,750745.54,60920.0,64.0,1/0/00,Personal Auto,Two-Door Car,231.201886,,
NL74789,California,F,Bachelor,732492.82,0.0,105.0,1/0/00,Special Auto,Two-Door Car,504.0,,
YU86594,Oregon,M,High School or Below,533303.81,55674.0,66.0,1/0/00,Personal Auto,Four-Door Car,81.710575,,
QN37451,California,M,College,1276723.06,0.0,189.0,1/0/00,Corporate Auto,Luxury,2201.327879,,
GD83998,Washington,M,Bachelor,265933.8,24495.0,70.0,1/0/00,Personal Auto,Four-Door Car,336.0,,
IL83479,Oregon,F,College,348363.04,42983.0,86.0,1/0/00,Personal Auto,Four-Door Car,412.8,,
EF87528,Arizona,M,College,463654.65,26802.0,66.0,1/1/00,Special Auto,Two-Door Car,316.8,,
IV74747,California,M,Doctor,1753003.66,0.0,97.0,1/0/00,Corporate Auto,Four-Door Car,469.229028,,
JZ81608,Oregon,M,High School or Below,697871.98,53808.0,88.0,1/0/00,Personal Auto,Four-Door Car,189.835063,,
EO40136,Arizona,F,College,291224.84,93403.0,73.0,1/0/00,Personal Auto,Four-Door Car,295.224598,,
ZR40902,Oregon,F,Bachelor,420927.93,26435.0,111.0,1/1/00,Corporate Auto,Four-Door Car,1012.249308,,
PO89542,Oregon,F,Bachelor,500980.89,0.0,68.0,1/0/00,Personal Auto,Four-Door Car,326.4,,
FX57380,California,F,Bachelor,521751.33,39854.0,66.0,1/0/00,Personal Auto,Two-Door Car,261.930545,,
NM22175,Oregon,M,College,1149033.62,0.0,161.0,1/0/00,Personal Auto,SUV,1052.933035,,
BC97773,Nevada,F,Master,286454.4,91368.0,71.0,1/0/00,Personal Auto,Four-Door Car,395.328407,,
MN34012,Arizona,M,Bachelor,840391.02,0.0,115.0,1/0/00,Personal Auto,SUV,552.0,,
KY29506,California,F,College,2039596.88,92850.0,104.0,1/1/00,Personal Auto,Four-Door Car,499.2,,
VU84949,Washington,F,Bachelor,529263.25,0.0,70.0,1/0/00,Personal Auto,Two-Door Car,336.0,,
HC20975,Arizona,M,Bachelor,1672777.19,30915.0,72.0,1/2/00,Personal Auto,Four-Door Car,345.6,,
IF87079,Arizona,F,Master,580112.83,48927.0,72.0,1/0/00,Personal Auto,Four-Door Car,139.354893,,
EP18940,Oregon,F,Bachelor,947297.38,0.0,86.0,1/0/00,Personal Auto,Four-Door Car,412.8,,
SB44003,Arizona,F,College,1048491.54,61108.0,89.0,1/0/00,Personal Auto,Four-Door Car,49.451117,,
MK15785,Nevada,M,Master,438731.09,48015.0,110.0,1/0/00,Corporate Auto,Luxury,528.0,,
VP89545,Arizona,M,College,452288.35,0.0,61.0,1/0/00,Personal Auto,Four-Door Car,292.8,,
HJ58678,Nevada,F,College,541815.21,57587.0,68.0,1/0/00,Personal Auto,Four-Door Car,257.090387,,
MW80236,Washington,M,Master,,0.0,70.0,1/0/00,Personal Auto,Four-Door Car,336.0,,
IA52178,Arizona,F,College,1578529.69,81119.0,196.0,1/0/00,Corporate Auto,SUV,940.8,,
WC42895,California,F,Bachelor,2211039.8,65724.0,70.0,1/0/00,Personal Auto,Four-Door Car,14.518312,,
JP41935,Washington,M,High School or Below,1359619.97,20128.0,70.0,1/2/00,Personal Auto,Four-Door Car,336.0,,
YM77369,Oregon,M,High School or Below,475612.62,56146.0,119.0,1/0/00,Corporate Auto,Four-Door Car,401.785805,,
WV15213,California,M,Bachelor,244705.31,84658.0,62.0,1/0/00,Personal Auto,Four-Door Car,44.780402,,
GX37592,Nevada,F,College,567592.33,33257.0,72.0,1/1/00,Personal Auto,Four-Door Car,345.6,,
VM34210,Washington,F,College,739903.21,0.0,101.0,1/0/00,Personal Auto,SUV,337.617149,,
YJ59924,Oregon,M,College,730843.39,31115.0,92.0,1/0/00,Personal Auto,Four-Door Car,441.6,,
OO35641,Oregon,F,College,3287174.78,78487.0,117.0,1/0/00,Personal Auto,SUV,448.255019,,
EU54076,Oregon,M,Bachelor,522892.01,92472.0,65.0,1/0/00,Corporate Auto,Four-Door Car,240.221415,,
QH56750,Arizona,M,High School or Below,2070086.45,0.0,64.0,1/0/00,Personal Auto,Four-Door Car,460.8,,
PQ27923,Washington,M,Master,633303.08,71737.0,79.0,1/0/00,Personal Auto,Two-Door Car,338.79562,,
ES16126,California,M,College,433038.6,60475.0,107.0,1/0/00,Personal Auto,Four-Door Car,513.6,,
PG42834,Arizona,F,Bachelor,629273.54,26577.0,79.0,1/0/00,Personal Auto,Four-Door Car,73.719521,,
OY44814,Arizona,M,High School or Below,491788.96,0.0,71.0,1/0/00,Personal Auto,Two-Door Car,511.2,,
JI97190,California,M,High School or Below,516581.0,43461.0,64.0,1/0/00,Personal Auto,Two-Door Car,307.2,,
ZK61113,Oregon,M,High School or Below,629159.0,0.0,94.0,1/0/00,Personal Auto,Two-Door Car,676.8,,
MU88116,Oregon,F,Master,458267.42,69085.0,113.0,1/0/00,Corporate Auto,Luxury,472.271907,,
TP61305,California,M,High School or Below,606244.16,0.0,84.0,1/0/00,Personal Auto,Four-Door Car,604.8,,
ZY20779,Washington,M,High School or Below,497907.99,0.0,71.0,1/0/00,Personal Auto,Two-Door Car,340.8,,
KP65334,California,F,College,583056.14,0.0,77.0,1/0/00,Corporate Auto,Four-Door Car,783.431945,,
OH15677,California,M,High School or Below,374257.91,0.0,110.0,1/1/00,Personal Auto,Luxury,1272.546918,,
HB53755,Oregon,F,High School or Below,384959.67,0.0,106.0,1/0/00,Personal Auto,Luxury,763.2,,
UF77079,Arizona,F,High School or Below,1526581.49,58361.0,95.0,1/0/00,Personal Auto,Four-Door Car,43.599861,,
TD20252,Arizona,M,College,531780.72,74092.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6,,
TH68362,California,F,College,237480.92,0.0,64.0,1/0/00,Corporate Auto,Four-Door Car,380.822087,,
TO34442,Washington,M,College,553286.33,59768.0,71.0,1/1/00,Personal Auto,Four-Door Car,340.8,,
MP96373,Washington,M,Master,571978.57,54585.0,7575.0,1/1/00,Personal Auto,Two-Door Car,340.8,,
